iter	Passed	Remaining
0	222	111032
1	287	71498
2	352	58469
3	420	52139
4	493	48841
5	559	46025
6	626	44155
7	691	42529
8	756	41253
9	824	40403
10	892	39697
11	959	39038
12	1028	38511
13	1099	38160
14	1173	37930
15	1239	37507
16	1306	37115
17	1371	36717
18	1439	36432
19	1508	36207
20	1627	37122
21	1695	36835
22	1735	35998
23	1802	35740
24	1868	35510
25	1932	35226
26	2001	35067
27	2064	34806
28	2131	34613
29	2197	34431
30	2264	34256
31	2330	34089
32	2400	33965
33	2467	33815
34	2531	33635
35	2598	33494
36	2667	33380
37	2733	33231
38	2801	33118
39	2870	33015
40	2939	32911
41	3004	32768
42	3072	32651
43	3136	32502
44	3210	32459
45	3287	32446
46	3355	32342
47	3422	32230
48	3491	32133
49	3554	31994
50	3627	31934
51	3695	31837
52	3762	31731
53	3829	31629
54	3898	31540
55	3966	31444
56	4033	31348
57	4101	31254
58	4167	31153
59	4235	31061
60	4304	30977
61	4370	30876
62	4436	30770
63	4506	30698
64	4571	30592
65	4638	30502
66	4705	30411
67	4782	30384
68	4858	30349
69	4930	30285
70	5001	30222
71	5068	30131
72	5135	30040
73	5202	29948
74	5270	29864
75	5336	29773
76	5400	29669
77	5479	29644
78	5548	29568
79	5623	29521
80	5688	29427
81	5784	29489
82	5850	29392
83	5917	29307
84	5985	29222
85	6051	29132
86	6115	29031
87	6181	28940
88	6249	28858
89	6318	28782
90	6384	28692
91	6453	28621
92	6528	28569
93	6594	28484
94	6660	28395
95	6727	28311
96	6795	28232
97	6864	28159
98	6930	28073
99	6999	27996
100	7071	27937
101	7134	27839
102	7203	27763
103	7270	27684
104	7343	27625
105	7409	27540
106	7476	27460
107	7539	27366
108	7625	27352
109	7702	27310
110	7765	27215
111	7831	27128
112	7898	27051
113	7961	26956
114	8028	26879
115	8093	26793
116	8168	26738
117	8235	26661
118	8305	26592
119	8394	26582
120	8478	26558
121	8549	26488
122	8613	26400
123	8684	26334
124	8748	26244
125	8814	26164
126	8880	26081
127	8958	26034
128	9026	25961
129	9093	25882
130	9160	25802
131	9230	25732
132	9295	25650
133	9365	25581
134	9435	25509
135	9518	25474
136	9589	25407
137	9667	25359
138	9740	25296
139	9826	25268
140	9897	25201
141	9965	25124
142	10035	25053
143	10106	24984
144	10172	24905
145	10242	24834
146	10311	24761
147	10382	24692
148	10449	24616
149	10521	24549
150	10589	24475
151	10662	24412
152	10742	24364
153	10824	24320
154	10896	24252
155	10968	24186
156	11048	24137
157	11120	24070
158	11188	23996
159	11257	23922
160	11328	23852
161	11400	23786
162	11478	23732
163	11553	23670
164	11633	23618
165	11703	23548
166	11773	23476
167	11844	23407
168	11916	23338
169	11984	23264
170	12055	23194
171	12128	23128
172	12195	23051
173	12265	22980
174	12334	22907
175	12399	22826
176	12467	22751
177	12534	22674
178	12602	22599
179	12668	22522
180	12741	22455
181	12810	22383
182	12884	22319
183	12952	22244
184	13017	22165
185	13089	22097
186	13157	22022
187	13224	21946
188	13293	21875
189	13366	21808
190	13440	21744
191	13503	21661
192	13571	21587
193	13637	21510
194	13704	21434
195	13772	21360
196	13851	21304
197	13926	21241
198	13994	21167
199	14059	21088
200	14147	21045
201	14218	20976
202	14289	20906
203	14363	20841
204	14436	20773
205	14509	20707
206	14573	20628
207	14642	20555
208	14711	20483
209	14790	20424
210	14863	20358
211	14941	20298
212	15007	20221
213	15074	20145
214	15143	20073
215	15213	20002
216	15281	19929
217	15362	19873
218	15440	19812
219	15540	19779
220	15613	19710
221	15684	19640
222	15757	19573
223	15827	19501
224	15903	19438
225	15972	19364
226	16040	19291
227	16109	19218
228	16176	19142
