ticker;date;open;low;high;close
MCFTR;2015-01-05;1843.75;1843.75;1843.75;1843.75
MCFTR;2015-01-06;1901.63;1901.63;1901.63;1901.63
MCFTR;2015-01-08;1987.24;1987.24;1987.24;1987.24
MCFTR;2015-01-09;1946.29;1946.29;1946.29;1946.29
MCFTR;2015-01-12;1943.52;1943.52;1943.52;1943.52
MCFTR;2015-01-13;1969.04;1969.04;1969.04;1969.04
MCFTR;2015-01-14;1996.49;1996.49;1996.49;1996.49
MCFTR;2015-01-15;2007.73;2007.73;2007.73;2007.73
MCFTR;2015-01-16;2043.97;2043.97;2043.97;2043.97
MCFTR;2015-01-19;2024.67;2024.67;2024.67;2024.67
MCFTR;2015-01-20;2017.7;2017.7;2017.7;2017.7
MCFTR;2015-01-21;2078.32;2078.32;2078.32;2078.32
MCFTR;2015-01-22;2140.47;2140.47;2140.47;2140.47
MCFTR;2015-01-23;2147.2;2147.2;2147.2;2147.2
MCFTR;2015-01-26;2109.4;2109.4;2109.4;2109.4
MCFTR;2015-01-27;2149.92;2149.92;2149.92;2149.92
MCFTR;2015-01-28;2116.26;2116.26;2116.26;2116.26
MCFTR;2015-01-29;2105.91;2105.91;2105.91;2105.91
MCFTR;2015-01-30;2116.23;2116.23;2116.23;2116.23
MCFTR;2015-02-02;2087.49;2087.49;2087.49;2087.49
MCFTR;2015-02-03;2124.8;2124.8;2124.8;2124.8
MCFTR;2015-02-04;2126.93;2126.93;2126.93;2126.93
MCFTR;2015-02-05;2178.36;2178.36;2178.36;2178.36
MCFTR;2015-02-06;2254.63;2254.63;2254.63;2254.63
MCFTR;2015-02-09;2245.77;2245.77;2245.77;2245.77
MCFTR;2015-02-10;2237.81;2237.81;2237.81;2237.81
MCFTR;2015-02-11;2265.1;2265.1;2265.1;2265.1
MCFTR;2015-02-12;2315.45;2315.45;2315.45;2315.45
MCFTR;2015-02-13;2360.89;2360.89;2360.89;2360.89
MCFTR;2015-02-16;2312.61;2312.61;2312.61;2312.61
MCFTR;2015-02-17;2303.92;2303.92;2303.92;2303.92
MCFTR;2015-02-18;2324.27;2324.27;2324.27;2324.27
MCFTR;2015-02-19;2309.12;2309.12;2309.12;2309.12
MCFTR;2015-02-20;2302.48;2302.48;2302.48;2302.48
MCFTR;2015-02-24;2276.1;2276.1;2276.1;2276.1
MCFTR;2015-02-25;2242.79;2242.79;2242.79;2242.79
MCFTR;2015-02-26;2261.33;2261.33;2261.33;2261.33
MCFTR;2015-02-27;2259.16;2259.16;2259.16;2259.16
MCFTR;2015-03-02;2290.46;2290.46;2290.46;2290.46
MCFTR;2015-03-03;2321.74;2321.74;2321.74;2321.74
MCFTR;2015-03-04;2259.64;2259.64;2259.64;2259.64
MCFTR;2015-03-05;2261.19;2261.19;2261.19;2261.19
MCFTR;2015-03-06;2220.09;2220.09;2220.09;2220.09
MCFTR;2015-03-10;2138.95;2138.95;2138.95;2138.95
MCFTR;2015-03-11;2146.77;2146.77;2146.77;2146.77
MCFTR;2015-03-12;2138.08;2138.08;2138.08;2138.08
MCFTR;2015-03-13;2090.79;2090.79;2090.79;2090.79
MCFTR;2015-03-16;2067.63;2067.63;2067.63;2067.63
MCFTR;2015-03-17;2069.99;2069.99;2069.99;2069.99
MCFTR;2015-03-18;2096.23;2096.23;2096.23;2096.23
MCFTR;2015-03-19;2065.22;2065.22;2065.22;2065.22
MCFTR;2015-03-20;2091.76;2091.76;2091.76;2091.76
MCFTR;2015-03-23;2058.64;2058.64;2058.64;2058.64
MCFTR;2015-03-24;2078.9;2078.9;2078.9;2078.9
MCFTR;2015-03-25;2074.89;2074.89;2074.89;2074.89
MCFTR;2015-03-26;2031.66;2031.66;2031.66;2031.66
MCFTR;2015-03-27;2018.44;2018.44;2018.44;2018.44
MCFTR;2015-03-30;2071.47;2071.47;2071.47;2071.47
MCFTR;2015-03-31;2088.61;2088.61;2088.61;2088.61
MCFTR;2015-04-01;2134.48;2134.48;2134.48;2134.48
MCFTR;2015-04-02;2156.75;2156.75;2156.75;2156.75
MCFTR;2015-04-03;2159.62;2159.62;2159.62;2159.62
MCFTR;2015-04-06;2184.24;2184.24;2184.24;2184.24
MCFTR;2015-04-07;2177.82;2177.82;2177.82;2177.82
MCFTR;2015-04-08;2162.39;2162.39;2162.39;2162.39
MCFTR;2015-04-09;2141.8;2141.8;2141.8;2141.8
MCFTR;2015-04-10;2128.21;2128.21;2128.21;2128.21
MCFTR;2015-04-13;2155.4;2155.4;2155.4;2155.4
MCFTR;2015-04-14;2115.85;2115.85;2115.85;2115.85
MCFTR;2015-04-15;2154.78;2154.78;2154.78;2154.78
MCFTR;2015-04-16;2167.51;2167.51;2167.51;2167.51
MCFTR;2015-04-17;2128.7;2128.7;2128.7;2128.7
MCFTR;2015-04-20;2162.95;2162.95;2162.95;2162.95
MCFTR;2015-04-21;2197.64;2197.64;2197.64;2197.64
MCFTR;2015-04-22;2155.65;2155.65;2155.65;2155.65
MCFTR;2015-04-23;2136.48;2136.48;2136.48;2136.48
MCFTR;2015-04-24;2162.25;2162.25;2162.25;2162.25
MCFTR;2015-04-27;2155.21;2155.21;2155.21;2155.21
MCFTR;2015-04-28;2156.07;2156.07;2156.07;2156.07
MCFTR;2015-04-29;2147.4;2147.4;2147.4;2147.4
MCFTR;2015-04-30;2170.87;2170.87;2170.87;2170.87
MCFTR;2015-05-05;2213.89;2213.89;2213.89;2213.89
MCFTR;2015-05-06;2204.26;2204.26;2204.26;2204.26
