ticker;date;open;low;high;close
RGBITR;2015-01-05;278.62;276.99;279.33;277.04
RGBITR;2015-01-06;278.01;275.13;278.5;275.98
RGBITR;2015-01-08;275.09;273.96;275.8;273.97
RGBITR;2015-01-09;273.86;273.86;276.89;276.01
RGBITR;2015-01-12;276.28;268.9;278.38;268.9
RGBITR;2015-01-13;268.67;262.92;268.67;263.03
RGBITR;2015-01-14;263.25;262.45;263.92;263.92
RGBITR;2015-01-15;264.1;264.1;271.93;271.56
RGBITR;2015-01-16;271.77;270.18;274.94;274.66
RGBITR;2015-01-19;274.92;273.72;275.72;274.58
RGBITR;2015-01-20;274.68;274.26;275.49;275.16
RGBITR;2015-01-21;275.28;275.09;275.58;275.09
RGBITR;2015-01-22;275.14;274.89;276.42;276.42
RGBITR;2015-01-23;276.55;276.16;279.4;278.75
RGBITR;2015-01-26;278.73;275.05;278.75;275.05
RGBITR;2015-01-27;274.97;273.78;274.97;274.59
RGBITR;2015-01-28;275.05;274.83;277.02;276.01
RGBITR;2015-01-29;276.21;274.28;276.54;274.52
RGBITR;2015-01-30;274.55;274.55;279.11;278.85
RGBITR;2015-02-02;279.01;277.7;281.51;281.51
RGBITR;2015-02-03;281.83;281.83;284.96;284.96
RGBITR;2015-02-04;285.22;283.49;285.34;283.73
RGBITR;2015-02-05;283.72;282.78;285.54;285.51
RGBITR;2015-02-06;286.35;286.35;288.95;288.86
RGBITR;2015-02-09;289.22;288.52;289.86;289.71
RGBITR;2015-02-10;290.06;289.11;290.06;289.27
RGBITR;2015-02-11;289.64;288.99;289.95;288.99
RGBITR;2015-02-12;289.15;288.55;289.81;289.54
RGBITR;2015-02-13;289.8;289.3;292.05;292.05
RGBITR;2015-02-16;292.64;292.5;296.16;296.16
RGBITR;2015-02-17;296.11;295.6;297.08;297.05
RGBITR;2015-02-18;297.44;297.44;299.26;299.16
RGBITR;2015-02-19;299.51;298.65;299.8;298.83
RGBITR;2015-02-20;298.66;295.87;299.08;295.87
RGBITR;2015-02-24;294.62;290.93;295.97;290.93
RGBITR;2015-02-25;291.78;290.37;292.12;290.62
RGBITR;2015-02-26;291.01;290.82;291.4;290.82
RGBITR;2015-02-27;290.89;288.21;291.02;288.21
RGBITR;2015-03-02;288.29;285.6;288.29;285.6
RGBITR;2015-03-03;285.61;284.65;286.64;286.64
RGBITR;2015-03-04;286.89;286.78;289.37;289.37
RGBITR;2015-03-05;289.23;289.23;291.45;291.44
RGBITR;2015-03-06;291.24;291.24;293.05;292.86
RGBITR;2015-03-10;293.44;292.4;294.02;292.49
RGBITR;2015-03-11;291.76;291.36;292.48;292.32
RGBITR;2015-03-12;292.98;292.42;293.25;293.12
RGBITR;2015-03-13;293.35;293.35;294.53;293.65
RGBITR;2015-03-16;293.63;291.7;293.85;291.7
RGBITR;2015-03-17;292.13;290.91;292.13;291.28
RGBITR;2015-03-18;291.7;291.66;294.17;291.98
RGBITR;2015-03-19;292.19;291.44;292.63;292.29
RGBITR;2015-03-20;292.52;292.52;294.63;294.63
RGBITR;2015-03-23;294.79;294.79;296.87;296.87
RGBITR;2015-03-24;296.96;296.78;298.43;298.43
RGBITR;2015-03-25;298.25;298.25;301.92;301.92
RGBITR;2015-03-26;302.2;302.2;305.84;305.84
RGBITR;2015-03-27;305.67;304.83;306.14;306.14
RGBITR;2015-03-30;306.22;305.67;306.36;305.9
RGBITR;2015-03-31;306.67;303.89;306.67;303.91
RGBITR;2015-04-01;303.74;301.89;306.31;306.28
RGBITR;2015-04-02;306.31;305.97;308.09;307.64
RGBITR;2015-04-03;307.88;306.79;308.22;307.34
RGBITR;2015-04-06;307.46;307.46;308.19;307.98
RGBITR;2015-04-07;308.15;307.37;308.73;308.56
RGBITR;2015-04-08;308.63;308.47;310.51;309.54
RGBITR;2015-04-09;309.6;309.6;312.36;312.25
